"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.54929365133724e-47,0.85147294749592,1,0.859,2.32037710160779e-43,"00h","LRRC16A"
2.54690889818105e-47,1.1684237292774,0.424,0.02,3.81450545680576e-43,"00h","ACOXL"
3.277850790997e-47,1.0446106495266,1,0.79,4.90923712967621e-43,"00h","PIM2"
7.72139773763977e-46,1.19848440898768,0.75,0.119,1.15643373916631e-41,"00h","C1orf115"
1.15702244583633e-45,1.57811200162481,0.793,0.15,1.73287251712908e-41,"00h","SLC16A9"
1.21627298077521e-45,1.28820486510055,0.478,0.035,1.82161204330703e-41,"00h","PLA2G4C"
1.26922130594571e-45,1.27972486681286,0.63,0.074,1.90091274991489e-41,"00h","MEGF10"
4.29354652057409e-45,1.63122826438094,0.761,0.146,6.43044462386382e-41,"00h","SMPDL3B"
4.58474078698482e-45,1.58120301056889,0.924,0.267,6.86656627666716e-41,"00h","RASL11B"
4.88382819675096e-45,1.71531452680969,0.957,0.329,7.31450949027392e-41,"00h","VSNL1"
4.89575609584437e-45,0.632447953195677,1,0.958,7.33237390474611e-41,"00h","VSIG10"
6.54416973089376e-45,1.58074787063425,0.989,0.332,9.80120300595959e-41,"00h","ITGA6"
6.72643401709366e-45,1.30138695903815,0.989,0.462,1.00741802274012e-40,"00h","CRABP1"
6.87623193605641e-45,0.950205677927562,1,0.866,1.02985325706317e-40,"00h","TTC39C"
8.18970803384709e-45,1.07707020791443,0.565,0.059,1.22657257222928e-40,"00h","RYR1"
8.36297660502156e-45,1.41120635409101,0.967,0.311,1.25252300613408e-40,"00h","ZSCAN10"
9.23088631877026e-45,0.768178892849579,1,0.89,1.38250984396222e-40,"00h","AK4"
1.23588661710673e-44,1.54706558560525,0.87,0.216,1.85098738644076e-40,"00h","PPAP2C"
1.26608767202966e-44,1.02192922939001,0.348,0.009,1.89621950639882e-40,"00h","MX1"
1.49470315303107e-44,1.51055909533253,0.924,0.267,2.23861691229464e-40,"00h","CTTNBP2"
3.24940711430726e-44,0.905328933150697,1,0.794,4.86663703509798e-40,"00h","SLC7A8"
9.16289903095163e-44,0.816474238845372,1,0.802,1.37232738786563e-39,"00h","PIP4K2A"
6.85717499669826e-42,1.27372517412939,0.989,0.776,1.0269990992555e-37,"00h","WIPF3"
7.65168924021631e-42,0.971567311019619,1,0.907,1.1459934975072e-37,"00h","RABGAP1L"
1.40939343400141e-41,1.28790138611649,0.989,0.497,2.11084854610391e-37,"00h","MBOAT1"
1.95875020164527e-41,1.5158973821189,0.924,0.324,2.93362017700412e-37,"00h","FGFBP3"
2.79959450603241e-41,1.37914900090482,0.707,0.126,4.19295269168473e-37,"00h","GYLTL1B"
4.51517020459086e-41,1.5266941470819,0.489,0.05,6.76237041541574e-37,"00h","GIPC2"
5.32200050807908e-41,1.41364086269588,0.641,0.102,7.97076016095004e-37,"00h","D4S234E"
9.67271383789293e-41,1.32266927462981,1,0.557,1.44868235150122e-36,"00h","PTPRZ1"
1.13039891993747e-40,1.52309698635671,0.935,0.323,1.69299846239035e-36,"00h","MMP16"
2.00575214985296e-39,1.34692323546725,0.804,0.204,3.00401499483477e-35,"00h","TNNI3"
1.3490005286964e-38,1.15386498913866,1,0.854,2.0203980918286e-34,"00h","NANOG"
1.4071392457826e-38,1.31017107727382,0.902,0.225,2.1074724484086e-34,"00h","SCNN1A"
1.69773670310533e-38,0.598565013325595,1,0.949,2.54270026024085e-34,"00h","FAM117B"
3.61696563170945e-38,0.970738874046623,1,0.64,5.41712942661124e-34,"00h","PMAIP1"
6.66403745662041e-38,1.14384040331165,0.967,0.523,9.98072889878039e-34,"00h","ALPP"
1.07390947766562e-37,0.614694077810492,1,0.964,1.6083942246998e-33,"00h","OCLN"
1.08610278246064e-37,1.42054378109809,0.967,0.67,1.6266561372913e-33,"00h","RNF144B"
1.10354877821935e-37,1.01019922244441,0.989,0.62,1.65278500513912e-33,"00h","RARRES2"
1.48984701182768e-37,1.42940020787932,0.663,0.119,2.23134386961431e-33,"00h","SORBS2"
1.65636224009152e-37,0.808640194295358,1,0.853,2.48073372698506e-33,"00h","NLGN4X"
2.99831603510463e-37,1.27646914047455,0.739,0.152,4.4905779257762e-33,"00h","KHDRBS2"
3.40623467556657e-37,1.24956758160288,1,0.584,5.10151767359604e-33,"00h","RBM47"
6.15764486001385e-37,1.45505580335384,0.543,0.078,9.22230470684274e-33,"00h","PSMB8"
6.47330045374494e-37,0.948071120691624,1,0.673,9.6950620895738e-33,"00h","CLDN6"
6.84479384885518e-37,1.261403195488,1,0.557,1.02514477474304e-32,"00h","CDH3"
8.26522014663442e-37,1.01462055080259,0.543,0.072,1.23788202136144e-32,"00h","C1orf187"
8.60602983380729e-37,1.03523369700203,1,0.641,1.28892508820932e-32,"00h","C10orf95"
2.42727084889823e-36,1.38157360851903,0.891,0.293,3.63532355039489e-32,"00h","GPR176"
2.46913479730478e-36,1.42939108016922,0.946,0.398,3.69802318592337e-32,"00h","HOOK1"
3.31112340968901e-36,1.08755350627629,0.989,0.809,4.95906953069124e-32,"00h","SCG3"
4.02881914492311e-36,1.32163978344352,0.989,0.408,6.03396243335134e-32,"00h","NFE2L3"
4.44651022932799e-36,1.21202380199047,0.989,0.53,6.65953837046453e-32,"00h","SLC6A15"
4.67636102908306e-36,1.38247108702246,0.652,0.129,7.0037859132577e-32,"00h","TMEM30B"
5.48719412374084e-36,1.1007385648348,0.967,0.817,8.21817063912666e-32,"00h","STEAP2"
7.92375904560209e-36,1.42969268058185,0.707,0.158,1.18674139225982e-31,"00h","CKMT1A"
8.51879833775431e-36,0.707877946018575,0.989,0.799,1.27586042704546e-31,"00h","MAD2L2"
1.22501343929251e-35,1.19724778836911,0.359,0.023,1.8347026280284e-31,"00h","SPTSSB"
1.7218620430431e-35,0.735135673893612,1,0.817,2.57883278186565e-31,"00h","BEND3"
1.74302893079823e-35,1.12419944933448,0.978,0.649,2.6105344296565e-31,"00h","DDAH1"
1.9544477810069e-35,1.27631767754653,0.62,0.107,2.92717644161403e-31,"00h","ELAVL2"
2.0310962344612e-35,0.587468009145437,1,0.979,3.04197283035253e-31,"00h","PHF17"
2.1850988070525e-35,1.18264958122567,1,0.509,3.27262248332254e-31,"00h","CLU"
2.66746071474847e-35,0.531050111265044,1,0.976,3.99505591247878e-31,"00h","ZNF483"
3.31473796688772e-35,0.9907020963502,0.609,0.092,4.96448305300774e-31,"00h","CXorf57"
3.94833522087378e-35,1.26062345353641,0.924,0.326,5.91342166030265e-31,"00h","ZFHX2"
4.70046132780046e-35,1.2904221796305,0.957,0.339,7.03988093064675e-31,"00h","C5orf62"
5.47759829571459e-35,0.887745038711094,1,0.754,8.20379896749175e-31,"00h","DPYSL3"
6.05741036625425e-35,0.825911094061478,0.576,0.096,9.07218350553899e-31,"00h","NLGN4Y"
6.94315186878656e-35,1.29791698918745,0.946,0.462,1.03987585538816e-30,"00h","MED12L"
7.8544772098185e-35,0.681491486476137,1,0.92,1.17636505171452e-30,"00h","MPV17L"
7.9854699793852e-35,1.18945797042977,0.989,0.607,1.19598383881252e-30,"00h","SEMA4D"
8.62870244416931e-35,1.31993161891412,0.696,0.162,1.29232076506324e-30,"00h","RAB17"
1.71132263032445e-34,1.32441568167066,0.696,0.149,2.56304790343693e-30,"00h","MAP2K6"
2.26998207851355e-34,1.37973113683958,0.924,0.38,3.39975215898975e-30,"00h","MOB3B"
3.68958283753667e-34,1.14981961569509,0.978,0.691,5.52588821577867e-30,"00h","ATP1A2"
5.3349470036189e-34,1.38851797946684,0.837,0.261,7.99015012732003e-30,"00h","ADM"
5.84730797768815e-34,1.14830959382544,1,0.542,8.75751315818354e-30,"00h","VASH2"
1.48489751411699e-33,0.791609755911149,1,0.806,2.22393100689301e-29,"00h","SFRP1"
1.71792731497541e-33,1.35509140851846,0.63,0.129,2.57293973963867e-29,"00h","VWDE"
1.79997451605511e-33,1.48757843357363,0.739,0.207,2.69582183269574e-29,"00h","ICA1"
2.1756750980216e-33,1.29359104449551,0.87,0.326,3.25850859430694e-29,"00h","GRTP1"
3.03295504370316e-33,1.01322361851088,0.989,0.62,4.54245676895422e-29,"00h","SLC29A1"
3.72192894078011e-33,1.43937838660761,0.935,0.635,5.57433297460638e-29,"00h","PAIP2B"
4.90332752641813e-33,1.24823623453133,0.957,0.506,7.34371363631643e-29,"00h","IQGAP2"
7.02551870178689e-33,1.45148267674298,0.609,0.122,1.05221193596662e-28,"00h","DHRS3"
8.28237349461126e-33,1.19404200073759,1,0.441,1.24045107828793e-28,"00h","CYP2S1"
1.04817150950576e-32,1.08820315277736,0.663,0.137,1.56984646978678e-28,"00h","CHGA"
1.35093519667403e-32,1.44696929599074,0.63,0.135,2.0232956440587e-28,"00h","GALNT3"
1.42045581834936e-32,1.18954577089345,0.522,0.078,2.12741667914183e-28,"00h","ST14"
1.44244747030383e-32,1.25448162876693,0.913,0.345,2.16035357627404e-28,"00h","NUP210"
1.98986637442204e-32,1.18991507731645,0.565,0.098,2.98022286897189e-28,"00h","CRIP3"
3.46047017130746e-32,0.527856835630095,0.348,0.026,5.18274617556718e-28,"00h","FLJ22184"
4.49450931177113e-32,1.0869231535765,0.478,0.063,6.73142659623961e-28,"00h","HDAC9"
7.97863830975372e-32,1.27015850838625,0.935,0.441,1.19496065965182e-27,"00h","CD200"
8.9342907169118e-32,0.944929902619242,0.978,0.826,1.33808872067188e-27,"00h","MYO5C"
1.09899421341961e-31,1.24469424871871,0.924,0.461,1.64596363343855e-27,"00h","PREX2"
1.95105768965173e-31,0.911338635826813,0.402,0.041,2.92209910179139e-27,"00h","CRB3"
1.96198691048889e-31,1.16013064749898,0.978,0.483,2.93846779583921e-27,"00h","ANKRD18B"
2.01117382207118e-31,1.4208142428979,0.707,0.177,3.01213503331601e-27,"00h","SCG5"
2.02681986338076e-31,1.22425425415487,0.946,0.398,3.03556810938536e-27,"00h","CYFIP2"
2.44757003887666e-31,1.36048573216763,0.63,0.135,3.66572564722557e-27,"00h","CKMT1B"
7.40555394445564e-31,1.1709349411945,0.957,0.39,1.10912981426112e-26,"00h","MYCN"
7.59205527519413e-31,1.27535647810533,0.728,0.21,1.13706211856582e-26,"00h","SLC22A23"
8.56426524049782e-31,0.533502981348402,1,0.928,1.28267000506936e-26,"00h","INO80D"
8.56713180273475e-31,1.27608119236696,0.935,0.378,1.28309933009558e-26,"00h","GLDC"
1.1358655329148e-30,1.19694611243283,0.946,0.38,1.7011858086465e-26,"00h","ADD2"
1.55278358190976e-30,0.927178790753586,0.978,0.736,2.32560397062624e-26,"00h","APOL2"
1.58015065077524e-30,0.998602907765096,0.978,0.604,2.36659162966608e-26,"00h","KIF1A"
1.72582162369613e-30,0.976397081301088,0.435,0.054,2.5847630458097e-26,"00h","CCDC64"
1.744227658112e-30,1.22574587758133,0.62,0.138,2.61232976355435e-26,"00h","HAPLN3"
1.80262113236192e-30,1.21374676378713,0.804,0.257,2.69978566993845e-26,"00h","PCDH1"
1.83225276676605e-30,1.05772758610688,0.989,0.559,2.74416496878552e-26,"00h","GPC3"
2.82663062050204e-30,1.01615818391053,0.989,0.529,4.23344468032591e-26,"00h","SLC39A11"
2.87820326503296e-30,0.957543147790224,0.315,0.021,4.31068503003987e-26,"00h","TEX14"
3.23645763723415e-30,1.27962629912631,0.783,0.206,4.84724260328558e-26,"00h","C9orf135"
4.08936643483716e-30,1.01703845176445,0.576,0.108,6.12464410945561e-26,"00h","WNK2"
5.53816749579698e-30,0.671910371959484,1,0.839,8.29451345845514e-26,"00h","SALL2"
5.54226373626969e-30,1.08975012792046,0.63,0.153,8.30064839781111e-26,"00h","ZDHHC22"
7.32079234473904e-30,1.16170907982221,0.359,0.035,1.09643506947157e-25,"00h","CR2"
8.36201209845475e-30,0.729731548993457,1,0.767,1.25237855198557e-25,"00h","THY1"
8.80033233606404e-30,0.839312493340006,1,0.709,1.31802577397231e-25,"00h","ZIC5"
1.02758217236903e-29,0.786291435838419,0.63,0.138,1.53900981955709e-25,"00h","ANKRD13B"
1.04308101854896e-29,1.23920148076181,0.837,0.252,1.56222244148078e-25,"00h","PMEL"
1.24459020211548e-29,0.517247644404183,1,0.902,1.86402274570836e-25,"00h","SLC35F2"
1.32320477304006e-29,0.919497581249352,0.511,0.086,1.98176378858209e-25,"00h","RGL3"
1.38691144573283e-29,1.19640715139818,0.685,0.18,2.07717727227406e-25,"00h","RAP1GAP2"
2.00009277545406e-29,1.19575819610593,0.891,0.596,2.99553894979755e-25,"00h","PRDM14"
2.94455782375471e-29,1.0093993707704,0.989,0.614,4.41006425263742e-25,"00h","RND3"
3.74423883972411e-29,1.28242290975025,0.641,0.15,5.6077465102548e-25,"00h","KLHL3"
3.76146989530139e-29,1.21538455876809,0.641,0.146,5.63355346219289e-25,"00h","WSCD1"
1.04977278950315e-28,1.16884066311198,0.641,0.149,1.57224470683887e-24,"00h","SYNGR3"
2.0265893505148e-28,1.28535451370368,0.761,0.27,3.03522287026602e-24,"00h","IGSF10"
2.22665594487251e-28,1.04005874852911,0.478,0.077,3.33486260863556e-24,"00h","COBL"
3.2296898465006e-28,1.07219408404161,0.337,0.03,4.83710648310395e-24,"00h","GABRP"
3.48031987117458e-28,0.954148848712838,0.37,0.039,5.21247507105817e-24,"00h","PADI2"
4.23021082938769e-28,1.14364620267119,0.935,0.425,6.33558675917395e-24,"00h","MAP7"
4.37453462001282e-28,0.76387594326153,0.38,0.042,6.55174050039319e-24,"00h","RHPN1"
4.9705460900943e-28,0.543536517201555,0.413,0.048,7.44438687913424e-24,"00h","EFCAB6"
5.52142017902567e-28,0.734075975139529,1,0.761,8.26943100212674e-24,"00h","PRPS2"
8.76697819475284e-28,1.24262960655191,0.543,0.111,1.31303032422813e-23,"00h","C1orf172"
9.56578057992642e-28,0.949836664327605,1,0.646,1.43266695745558e-23,"00h","SFRP2"
9.6428353676264e-28,1.21559037511687,0.978,0.368,1.44420745300941e-23,"00h","PROM1"
1.00134083083539e-27,1.24788276105016,0.783,0.255,1.49970816234217e-23,"00h","UBE2L6"
1.16618319763336e-27,1.26295236165036,0.598,0.134,1.74659257509549e-23,"00h","TMEM144"
1.73378432257393e-27,1.1985768943315,0.413,0.056,2.59668877991897e-23,"00h","MGAT4C"
1.82204884497595e-27,1.11412191742174,0.913,0.413,2.72888255512047e-23,"00h","ANKRD18A"
2.10649801647025e-27,0.618115252148494,1,0.973,3.1549020792675e-23,"00h","INADL"
2.17256840829485e-27,0.717912064976022,1,0.778,3.2538557051032e-23,"00h","TCF7L1"
3.00351176887448e-27,0.749535827645486,1,0.823,4.49835957624331e-23,"00h","SHISA2"
3.0137093812549e-27,0.65832606827495,0.989,0.787,4.51363254030547e-23,"00h","MCM5"
4.27744107437483e-27,0.937210878693064,0.978,0.835,6.40632349709119e-23,"00h","FAM111A"
7.28010505984279e-27,1.24144950822744,0.891,0.407,1.09034133481265e-22,"00h","PLP1"
7.82226421386059e-27,1.16735120152149,0.543,0.113,1.1715405113099e-22,"00h","LAD1"
1.03156904653203e-26,0.678291264653869,0.978,0.746,1.54498096099102e-22,"00h","THYN1"
1.07304826187289e-26,1.27737725053856,0.728,0.239,1.60710438180702e-22,"00h","CGN"
1.46081977183977e-26,1.16347708730408,0.685,0.186,2.18786977228442e-22,"00h","TRIML2"
1.47547445128751e-26,0.989712117834097,0.946,0.629,2.2098180856933e-22,"00h","PDPN"
1.6947871010071e-26,1.06983946574905,0.967,0.479,2.53828264117833e-22,"00h","GPR98"
1.69720370339502e-26,1.13720578348654,0.924,0.482,2.54190198657472e-22,"00h","GDAP1"
1.97760409943678e-26,0.655138961754362,1,0.923,2.96185765972646e-22,"00h","TRIM45"
2.6906097511332e-26,0.744578839764825,0.261,0.015,4.02972622427219e-22,"00h","PF4"
5.03306797511487e-26,0.967927705662907,0.315,0.029,7.53802590632954e-22,"00h","SLC16A14"
6.35992726392224e-26,0.65214233752778,1,0.809,9.52526306317634e-22,"00h","CDCA7L"
7.25253891589052e-26,1.24996581753118,0.793,0.362,1.08621275343292e-21,"00h","ARHGAP8"
1.31334707658872e-25,0.706512175891351,0.989,0.746,1.96699991660693e-21,"00h","AIF1L"
1.45447589379044e-25,0.529877950989779,1,0.917,2.17836854612995e-21,"00h","GPM6B"
3.10161345769976e-25,0.964869605696634,0.946,0.827,4.64528647559692e-21,"00h","MACC1"
4.20094851067968e-25,0.8613080768847,0.457,0.083,6.29176058444496e-21,"00h","B3GALT5"
4.75510178533795e-25,0.692986220757023,0.978,0.776,7.12171594390064e-21,"00h","RAB12"
5.04490256120278e-25,0.611878421473316,1,0.824,7.55575056591341e-21,"00h","APOL1"
6.24946201595002e-25,0.849471123938361,0.957,0.773,9.35981926128834e-21,"00h","SBK1"
6.44602832623685e-25,0.869922690209387,0.957,0.556,9.65421662420493e-21,"00h","LLGL2"
7.35219612322978e-25,0.917019225426861,0.435,0.072,1.10113841337612e-20,"00h","IGSF21"
7.41028440683061e-25,0.952288342241262,0.957,0.59,1.10983829561102e-20,"00h","ERBB2"
8.25361467555041e-25,0.555596207712751,1,0.965,1.23614386995718e-20,"00h","AXL"
1.04870286154597e-24,1.00981503133569,0.587,0.138,1.5706422757374e-20,"00h","JPH4"
1.16162427033202e-24,1.21986592206399,0.435,0.075,1.73976466967627e-20,"00h","NLGN1"
1.20725312085872e-24,1.21322957320626,0.576,0.144,1.8081029991101e-20,"00h","COMT"
1.2799033038391e-24,0.954925495535694,0.478,0.096,1.91691117815981e-20,"00h","TNFSF11"
1.41621153936982e-24,0.991089879626201,0.272,0.021,2.12106002251418e-20,"00h","TRIM22"
1.77902415012699e-24,0.655394809916284,1,0.974,2.66444446964519e-20,"00h","CDH1"
1.88181904889584e-24,1.03871494545971,0.641,0.17,2.8184003895313e-20,"00h","ITGB1BP3"
2.08589624510421e-24,0.923495355976523,0.717,0.194,3.12404680629258e-20,"00h","SCAMP5"
2.16255584587617e-24,1.13705847476163,0.62,0.162,3.23885989036874e-20,"00h","DDX25"
2.23825107328045e-24,0.964861397676809,0.728,0.213,3.35222863245213e-20,"00h","FYCO1"
2.33835447984029e-24,1.09175556486001,0.826,0.296,3.5021535044568e-20,"00h","NEFM"
3.05626837638223e-24,0.760956326874158,0.967,0.766,4.57737314730767e-20,"00h","SEMA3A"
4.47343229251379e-24,1.04617200159094,0.554,0.117,6.6998595444979e-20,"00h","TMEM200A"
7.08138327522011e-24,0.964333310416572,0.38,0.057,1.06057877312972e-19,"00h","KLK8"
7.53991267981275e-24,0.765101752214533,0.957,0.821,1.12925272205556e-19,"00h","GLB1L3"
7.64668571176259e-24,0.888031847098902,0.402,0.063,1.14524411905068e-19,"00h","TMEM125"
1.10080781468731e-23,0.824994559992337,0.315,0.035,1.64867986405719e-19,"00h","BDNF"
1.10241329086452e-23,0.575207534032847,1,0.854,1.65108438572779e-19,"00h","GIGYF1"
1.3352823428894e-23,0.986377825806247,0.359,0.048,1.99985236494545e-19,"00h","FAAH2"
1.37927311011938e-23,0.711699489820797,0.25,0.018,2.06573733702579e-19,"00h","CHST8"
1.82332211202945e-23,0.642683298087899,0.989,0.793,2.73078952718651e-19,"00h","NIPSNAP1"
1.90753300179221e-23,0.686333257555283,0.25,0.018,2.85691217678419e-19,"00h","CBLC"
2.14892699090524e-23,1.08725285397505,0.685,0.207,3.21844795427878e-19,"00h","PLCH1"
2.20707035273198e-23,1.09963114967509,0.87,0.281,3.30552926728668e-19,"00h","CLDN7"
2.33092569411541e-23,0.96930856087433,0.522,0.111,3.49102741207665e-19,"00h","HSD11B2"
2.62368014626387e-23,0.561394361320682,1,0.887,3.9294857550594e-19,"00h","SEMA6A"
2.70910202813439e-23,0.687320404015108,0.989,0.754,4.05742210753687e-19,"00h","CHAF1A"
3.30032245586901e-23,0.92245328072828,0.315,0.035,4.94289294215501e-19,"00h","DDIT4L"
4.0290580660428e-23,1.27440723009978,0.641,0.224,6.0343202655123e-19,"00h","CHRDL1"
4.74028684482747e-23,0.782506006330994,0.522,0.105,7.0995276074981e-19,"00h","C1S"
4.77551133213137e-23,0.591512481171091,1,0.866,7.15228332213315e-19,"00h","INSR"
5.33267947627746e-23,0.671566256452457,0.989,0.895,7.98675405162076e-19,"00h","PCYT1B"
5.85147355316547e-23,0.901005552288606,0.978,0.641,8.76375194057593e-19,"00h","PFKFB2"
6.45250070535848e-23,0.96017028374199,0.967,0.452,9.66391030641539e-19,"00h","C8orf42"
6.70157069552198e-23,0.955537348187637,0.902,0.608,1.00369424306833e-18,"00h","CRISPLD2"
6.82067423682137e-23,0.733722620535059,1,0.706,1.02153238044874e-18,"00h","CD9"
8.15526089364904e-23,0.91813110618391,0.967,0.617,1.22141342404182e-18,"00h","MAGI1"
9.79693655586873e-23,0.867080098137847,0.478,0.095,1.46728718797246e-18,"00h","DYSF"
1.27817608751771e-22,1.21785038780883,0.663,0.218,1.91432432627527e-18,"00h","NELL2"
1.28151207333755e-22,0.794731275130013,1,0.697,1.91932063223765e-18,"00h","KIF21A"
2.38118705774023e-22,0.506284765156167,1,0.959,3.56630385637755e-18,"00h","DIS3L"
2.68523073250577e-22,0.769047961240384,0.315,0.039,4.02167006807389e-18,"00h","LHFPL4"
2.85942869766964e-22,0.958475237042079,0.761,0.269,4.28256636049983e-18,"00h","STMN3"
3.07284058119585e-22,1.15179001859133,0.598,0.164,4.60219333845702e-18,"00h","CHST9"
3.33276525124714e-22,1.27636785555255,0.717,0.281,4.99148251679285e-18,"00h","EIF4E3"
3.33890408789985e-22,1.30570456581566,0.489,0.108,5.0006766524476e-18,"00h","KCNJ2"
3.41997768669754e-22,0.914662499794807,0.967,0.785,5.12210058136691e-18,"00h","SLC35F1"
3.56623347126545e-22,0.672185772980694,0.685,0.213,5.34114786991426e-18,"00h","FRMD3"
3.56915474768373e-22,0.904892835769323,0.967,0.766,5.34552306560592e-18,"00h","KIAA1244"
3.84657290877904e-22,0.907242630287056,0.63,0.188,5.76101224547836e-18,"00h","LHPP"
3.94766332142933e-22,0.820085934507777,0.989,0.884,5.91241535650471e-18,"00h","FGD4"
4.89379041846478e-22,0.963762644375399,1,0.547,7.3294299097347e-18,"00h","EPCAM"
5.54645453267942e-22,0.503073560098778,0.989,0.967,8.30692495359396e-18,"00h","PTGIS"
5.55693460296875e-22,0.794859686175928,0.326,0.042,8.32262095486629e-18,"00h","PRR15"
6.3040800989445e-22,0.940782869490108,0.967,0.518,9.44162076418917e-18,"00h","GCA"
6.47986326028253e-22,1.01356050554415,0.815,0.335,9.70489120492515e-18,"00h","PCNXL2"
7.07724722318746e-22,0.980628076853733,0.543,0.126,1.05995931661679e-17,"00h","SNTB1"
7.94169064868068e-22,0.994089224298217,0.935,0.459,1.18942700845291e-17,"00h","PRICKLE1"
8.99156586656324e-22,0.987188418940725,0.413,0.074,1.34666681983518e-17,"00h","MOCOS"
9.96994673715897e-22,0.778513261077977,0.25,0.021,1.4931989228243e-17,"00h","FRY"
9.97134104020623e-22,1.02308034781426,0.87,0.39,1.49340774759169e-17,"00h","TUBA4A"
1.13746598885377e-21,0.75518187681005,0.293,0.033,1.70358281150629e-17,"00h","DGKK"
1.1888551541439e-21,0.893134525123393,0.935,0.506,1.78054836436132e-17,"00h","PVRL1"
1.22538871194193e-21,1.00641341238967,0.511,0.119,1.83526467387542e-17,"00h","UNC79"
1.23873733885464e-21,0.997874537743412,0.902,0.485,1.85525691240259e-17,"00h","CCDC112"
1.28265550580358e-21,0.509271255781486,1,0.892,1.92103315104202e-17,"00h","TOB1"
1.48778548231834e-21,0.86449087909666,0.946,0.592,2.22825631686818e-17,"00h","AKAP1"
1.92716054041991e-21,0.789636436898601,0.989,0.667,2.88630834138691e-17,"00h","PAWR"
1.97477898774685e-21,0.694831506267778,0.989,0.853,2.95762648994845e-17,"00h","RND2"
2.22090898373057e-21,0.790082822819466,1,0.692,3.32625538493328e-17,"00h","TRIM2"
2.33810451241217e-21,0.930582490994767,0.859,0.377,3.50177912823971e-17,"00h","KRTCAP3"
2.54895992266371e-21,0.916466326093234,0.967,0.512,3.81757727617344e-17,"00h","SYT1"
3.41126558581437e-21,0.921962601244811,0.946,0.547,5.10905246787419e-17,"00h","NAP1L3"
4.98664647125314e-21,0.921190026441499,0.88,0.526,7.46850041999583e-17,"00h","CLDN10"
5.42449385460504e-21,0.860658224086911,0.435,0.09,8.12426444604197e-17,"00h","C9orf129"
7.22968094919307e-21,0.955701914820245,0.772,0.3,1.08278931576065e-16,"00h","MT1G"
